Time,Module run,Comment,Status
2025-12-24 08:31:05,Policy Module,Ingest request for BCH,START
2025-12-24 08:31:11,Policy Module,Stored 5 chunks in coi_mgmt.vec_bch,SUCCESS
2025-12-24 08:31:11,Policy Module,Ingest request for HMS,START
2025-12-24 08:31:12,Policy Module,Error: cannot perform operation: another operation is in progress,ERROR
2025-12-24 08:32:02,Policy Module,Ingest request for BCH,START
2025-12-24 08:32:07,Policy Module,Stored 5 chunks in coi_mgmt.vec_bch,SUCCESS
2025-12-24 08:32:07,Policy Module,Ingest request for HMS,START
2025-12-24 08:32:09,Policy Module,Stored 1 chunks in coi_mgmt.vec_hms,SUCCESS
2025-12-24 08:55:26,Policy Module,Ingest request for BCH,START
2025-12-24 08:55:33,Policy Module,Stored 1 chunks in coi_mgmt.vec_bch,SUCCESS
2025-12-24 09:50:01,Policy Module,Ingest request for BCH,START
2025-12-24 09:50:08,Policy Module,Stored 1 chunks in coi_mgmt.vec_bch,SUCCESS
2025-12-24 09:51:27,Policy Module,Ingest request for BCH,START
2025-12-24 09:51:30,Policy Module,Stored 1 chunks in coi_mgmt.vec_bch,SUCCESS
